Category,Description,Image,Title,Max tokens (API),ID,Plan,PromptSystem,,Fields,Negativeprompt,Font
Business,Quickly Generate Ideas!,10011BusinessIdea.webp,Idea Incubator,512,10011,Professional,Assist me in brainstorming innovative business ideas tailored to my specific interests and skills. Consider factors such as my expertise and passions to generate practical and feasible suggestions that I can potentially start today,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
e-Commerce,Create key feature bullet points for your amazon listings,10014AmazonProductFeatures.webp,Amazon Listing Enhancer,512,10014,Professional,Generate compelling Amazon product features and benefits bullet points for listings based on the provided product name and description. Craft concise and persuasive points to enhance the product's appeal to potential customers,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Summarize,Develop a professional presentation script for any Event/Topic,,,512,10016,Professional,"Compose a professional presentation script for Event/Topic. Craft a script that is articulate, concise, and effectively communicates key messages to the audience. Integrate the given details, including:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Other,Develop a comprehensive plan for the launch of any product,,,512,10017,Professional,"Develop a comprehensive plan for the launch of Product. Ensure the plan outlines key milestones, target audience considerations, and effective marketing strategies. Include details such as:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Social Media,Write a professional email for any purpose,,,512,10018,Professional,"Write a professional email for Purpose. Craft an email that is clear, concise, and effectively conveys the intended message to the recipient. Address key points such as:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Educational,Create insightful interview questions for any job position,,,512,10019,Professional,Generate insightful interview questions for the position. Ensure the questions are tailored to assess the candidate's suitability and skills for the role. Consider aspects such as:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
later,Create a delicious recipe for any dish,,,512,10020,Free,Create a delicious recipe for Dish. Ensure the recipe is easy to follow and appeals to both novice and experienced cooks. Include key ingredients such as:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Sevillana
Other,Develop a detailed plan for the creation of a mobile app,,,512,10021,Professional,Develop a detailed plan for the creation of a mobile application. Ensure the plan covers the entire app development lifecycle. Include specifications for features like:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Sevillana
Summarize,Develop a personalized plan for personal development focused on any specific area,,,512,10022,Starter,Craft a personalized plan for personal development focusing on specific area. Ensure the plan includes actionable steps and measurable milestones. Identify goals related to:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Social Media,Write a script for an instructional video on any topic,,,512,10023,Professional,"Write a script for an instructional video on Topic. Ensure the script is engaging, informative, and suitable for a tutorial video format. Cover key points such as:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Social Media,Create an engaging description for an upcoming online event on any topic,,,512,10024,Starter,"Craft an enticing description for an upcoming online event on Theme. Ensure the description encourages participation and conveys the value of attending the event. Highlight key aspects, including:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Social Media,"Input your theme, topics, style, and preferences, and watch as it generates a tailored script for your content.",,,512,10030,Professional,"Develop a custom video script based on the following parameters: Theme, Topics to be covered, Visual Style of the Video, Highlighted Elements to be included, Desired Narration Format, and Preferred Background Color. The resulting script will be tailored to your specifications, ensuring engaging content that aligns with your preferences.",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Image,Create a stunning landscape image,,AI ,512,10025,Professional,Create a stunning landscape image. Capture a serene and visually appealing scene with a focus on natural beauty. Featuring the elements:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",grass,Arial
Image,Build an imaginative and visually impactful composition,,Image,512,10026,Professional,Create a unique and vibrant piece of abstract art. Build an imaginative and visually striking composition. Incorporating elements such as:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",background,Arial
Image,Create a detailed scientific illustration,,Create,512,10027,Professional,Create a detailed scientific illustration. Ensure accuracy in representing scientific principles while maintaining a visually engaging and informative design. Depicting:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",black color,Arial
Image,Create imaginative and fantastic characters,,imagine,512,10028,Professional,Create imaginative and fantastic characters. Develop characters that evoke a sense of wonder and belong to a magical or supernatural realm. Each with unique characteristics like:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",cat,Arial
Image,Create an image of a futuristic concept,,concept,512,10029,Professional,"Create an image of a futuristic concept. Illustrate a futuristic environment with advanced technology, sleek designs, and a sense of innovation. Visualizing:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",blue,Arial
Image,Neon-Lit Alleyway in a Future Punk City:,,Future,1024,10031,Free,"Imagine a narrow alleyway in a densely populated future punk city. The scene is lit by neon signs in various shapes and colors, advertising cybernetic enhancements and virtual reality experiences. Graffiti covers the walls, telling stories of rebellion and resistance. A group of punk individuals with eclectic, tech-enhanced outfits gather around a holographic fire, plotting their next move against a corrupt regime.",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",black,Arial
Image,Create the perfect logo for your business!,,business,512,10012,Starter,Design an icon logo based on the provided description and incorporate the specified background color.,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Image,"Can create original, realistic images and art from a text description. It can combine concepts, attributes, and styles.",,style,512,10013,Professional,Create a realistic image using the following description:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Summarize,Create a well-researched article on any topic,,topic,512,10015,Professional,"Generate a well-researched article on the topic. Ensure the article is informative, engaging, and aligns with the interests of the target audience. Incorporate the provided key points:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
